name_2020,migration_net,population,male_20_34_p,enrolled_9_12_p,enrolled_college_p,enrolled_grad_p,occ_com_sci_math_p,occ_eng_p,mult_desktop_laptop_p,inc_50_74,inc_75_99,inc_100_149,inc_150_199,median_income,mean_income
"Houston-The Woodlands-Sugar Land, TX Metro Area",30564,6979613,10.84,5.98,5.21,1.28,1.02,2.96,27.33,16.9,12.3,16.2,8,69328,99268
"Hudson, NY Micro Area",97,60016,8.22,4.52,2.34,0.76,0.92,1.34,33.07,17.5,13.2,16.1,9.5,68750,94581
"Huntingdon, PA Micro Area",169,45145,10.55,4.49,4.36,0.53,0.43,0.5,26.58,19.4,14.1,13.8,4,53597,67180
"Huntington-Ashland, WV-KY-OH Metro Area",-799,359481,9.18,4.88,4.79,1.02,0.35,0.67,26.88,18.4,11.8,11.3,3.8,48085,64579
"Huntington, IN Micro Area",-62,36351,9.58,5.19,5.38,0.73,0.53,0.6,28.77,21.3,13.9,13.6,3.4,54286,65648
"Huntsville, AL Metro Area",2644,464607,10.38,5.21,6.32,1.65,2.13,4.75,32.27,15.8,12.7,16.3,8.7,66450,88920
"Huntsville, TX Micro Area",-1133,72295,16.67,2.92,14.88,1.27,0.7,0.47,22.53,14,10.4,9.9,2.9,41508,55759
"Huron, SD Micro Area",146,20347,9.16,4.47,1.99,0.59,0.6,1.04,28.28,21,13.3,12.6,2.4,52978,69726
"Hutchinson, KS Micro Area",590,62421,9.43,5.28,4.03,0.61,0.55,0.39,29.81,20.5,13.7,11.9,2.8,51520,67341
"Hutchinson, MN Micro Area",-397,35788,9.11,6.07,3.26,0.44,0.77,1.06,32.44,23.8,14.2,15.5,5.9,62885,79468
"Idaho Falls, ID Metro Area",773,148811,9.83,6.38,4.01,0.84,0.66,2.29,27.91,20.8,14.8,15.3,5.2,61877,79689
"Indiana, PA Micro Area",2679,84463,11.45,3.9,10.15,1.36,0.61,0.79,27.59,17.2,12.5,13,4.3,49270,65345
"Indianapolis-Carmel-Anderson, IN Metro Area",3841,2050933,10.25,5.6,4.12,1.22,1.06,1.69,30.29,18.6,13.1,15.7,6.7,63545,87488
"Indianola, MS Micro Area",-72,25759,14.65,4.97,4.08,0.48,0.24,0.33,17.53,14,9.3,5.5,2.4,31515,48935
"Iowa City, IA Metro Area",2138,172919,14.67,4.09,14.28,4.36,1.43,1.96,34.65,16.5,12.4,16.4,6.5,63131,86210
"Iron Mountain, MI-WI Micro Area",128,29685,7.81,4.36,2.89,0.87,0.55,1.99,32.58,18.7,14,12.4,4.4,51568,67680
"Ithaca, NY Metro Area",971,102237,15.65,3.34,20.83,6.21,1.77,2.86,34.39,18.4,11.8,13.6,6.7,61361,85655
"Jackson, MI Metro Area",269,158174,10.15,5.14,4.67,0.56,0.43,1.17,28.77,19.3,13.5,12.9,5.1,54511,72251
"Jackson, MS Metro Area",942,596287,10.12,5.22,5.43,1.51,0.66,0.89,25.56,17.9,12.5,12.4,5.4,53639,74991
"Jackson, OH Micro Area",-246,32440,9.51,5.16,2.36,0.75,0.37,0.64,25,22.1,11.3,9.9,2.3,48915,61689
"Jackson, TN Metro Area",-30,178601,9.09,5.15,5.16,0.61,0.41,0.45,26.02,19.5,11.5,11.6,3,48146,62738
"Jackson, WY-ID Micro Area",887,35132,11.73,3.65,4.24,2.02,0.78,2.03,36.12,18.6,15.6,18.5,10.1,83225,127299
"Jacksonville, FL Metro Area",6572,1533796,10.35,4.98,5.06,1.12,1.19,1.4,30.36,18.9,13.6,15.1,6.7,63064,86676
"Jacksonville, IL Micro Area",-2,38994,10.29,4.36,5.55,0.57,0.31,0.22,25.52,18.8,12.5,14.5,4.5,53688,69907
"Jacksonville, NC Metro Area",3553,198377,23.03,3.81,6.72,1.32,0.44,0.67,27.64,20.1,14.5,12.2,3.2,51560,64456
"Jacksonville, TX Micro Area",721,52341,10,5.45,4.28,0.46,0.27,0.44,22.95,17.7,11.4,13.4,5.3,50199,66658
"Jamestown-Dunkirk-Fredonia, NY Micro Area",330,127584,9.38,4.77,5.25,0.68,0.61,0.65,30.33,18.1,12,13.1,3.3,48315,63380
"Jamestown, ND Micro Area",446,20879,10.99,4.51,5.78,0.98,0.35,1.07,31.74,17.9,16,12.5,3.3,52815,71323
"Janesville-Beloit, WI Metro Area",-9,162532,9.26,5.6,4.56,0.73,0.42,1.01,30.66,19.5,14.7,14.9,5.5,59519,73142
"Jasper, AL Micro Area",-116,63802,8.92,4.81,2.99,0.3,0.22,0.54,24.49,17.3,13.8,10.6,3.5,45833,60917
"Jasper, IN Micro Area",-343,54898,8.55,5.57,2.84,0.51,0.4,1.13,28.04,21.1,14.2,16.7,5.6,60994,74642
"Jayuya, PR Micro Area",0,14239,10.72,5.78,7.36,0.52,0.48,0.58,13.62,6.6,1.3,0.7,0,16003,20488
"Jefferson City, MO Metro Area",238,151094,10.39,5.18,4.43,0.71,0.97,0.81,28.31,21.3,14.5,16.4,4.9,60586,75828
"Jefferson, GA Micro Area",304,70467,8.95,5.75,4.24,0.64,0.62,1.1,27.4,20.2,14.7,19.1,7.2,68307,84539
"Jennings, LA Micro Area",112,31425,9.52,5.59,4.24,0.59,0.3,0.35,19.94,13.6,11.8,11,6.2,42716,67764
"Jesup, GA Micro Area",-64,29959,9.66,5.67,3.11,0.43,0.27,0.46,21.57,16,12.5,9,5.9,45773,60032
"Johnson City, TN Metro Area",58,203147,9.91,4.07,5.81,1.63,0.81,0.94,30,17.9,10.9,10.7,3.7,45970,64118
"Johnstown, PA Metro Area",-215,131611,8.74,4.59,4.95,0.87,0.46,0.71,29.51,18.2,12.2,12.6,3.1,47644,62501
"Jonesboro, AR Metro Area",58,132828,11.03,5.17,5.95,1.53,0.55,0.53,26.59,18.4,11.1,11.5,3.5,47610,68530
"Joplin, MO Metro Area",-60,178816,9.99,5.16,4.27,0.61,0.43,0.61,26.51,20.8,12.8,10.5,3.2,50244,67373
"Juneau, AK Micro Area",-80,32099,11.71,4.73,3.94,1.64,1.6,2.11,33.2,18.7,17.2,20.6,10.8,88077,104222
"Kahului-Wailuku-Lahaina, HI Metro Area",1189,166657,8.55,4.35,2.88,0.83,0.75,1.12,26.74,16,14.7,19.7,10.4,84363,107870
"Kalamazoo-Portage, MI Metro Area",2932,264322,12.84,4.67,10.08,2.03,0.89,1.98,31.93,17.6,12.6,15,6.5,58836,82696
"Kalispell, MT Micro Area",80,102001,8.43,4.39,2.68,0.55,0.73,1.23,31.32,20.5,12.9,12.9,5.7,57763,77743
"Kankakee, IL Metro Area",-763,109924,10.01,5.38,6.36,0.74,0.41,0.62,26.76,18.6,13,16.8,5.3,59370,75029
"Kansas City, MO-KS Metro Area",8018,2144129,10.07,5.29,3.81,1.44,1.23,1.68,31.4,17.5,14.1,17.2,7.5,69240,91638
"Kapaa, HI Micro Area",-93,71949,8.59,4.13,3.12,0.56,0.53,1.73,24.82,14.9,13.2,22.8,8.9,82818,99154
"Kearney, NE Micro Area",-234,56182,11.47,5.67,9.29,1.03,0.64,0.61,29.22,18.3,14.8,16.8,6.4,63409,77784
"Keene, NH Micro Area",-135,76040,9.71,3.94,9.1,1.18,0.87,1.09,32.34,20.7,15.2,16.9,5.5,64686,82341
"Kendallville, IN Micro Area",406,47640,9.31,6.04,2.82,0.15,0.33,0.64,26.59,24.9,14.2,14,3.8,58947,70638
"Kennett, MO Micro Area",-272,29657,7.91,5.96,2.38,0.35,0.16,0.04,24.54,17.8,8.3,7.6,2.3,38020,56320
"Kennewick-Richland, WA Metro Area",1258,294396,10.58,6.23,3.94,0.87,0.73,1.93,27.7,19.5,13.9,18.1,8,70545,90276
"Kerrville, TX Micro Area",562,52195,8.05,4.42,2.56,0.36,0.89,1.63,31.95,18.6,14.6,14.6,5.4,57196,78382
"Ketchikan, AK Micro Area",-145,13833,10.77,4.89,3.01,0.63,0.43,1.31,30.82,16.9,13.1,18.8,10.7,74678,95227
"Key West, FL Micro Area",523,75137,8.91,3.58,2.85,0.63,0.87,1.95,35.8,16.4,13.7,16.9,8.7,72012,105568
"Kill Devil Hills, NC Micro Area",-252,36698,7.18,4.23,3.17,1.05,0.73,1.81,36.75,21.6,14,17.1,5.1,65420,84341
"Killeen-Temple, TX Metro Area",5086,452428,13.55,5.51,6.39,1.25,0.76,0.47,27.72,20.1,13.2,14.4,4.2,55306,71862
"Kingsport-Bristol, TN-VA Metro Area",-507,307267,8.52,4.78,3.31,0.6,0.65,1.2,28.69,18.3,11.5,10.8,3.5,46685,64646
"Kingston, NY Metro Area",-160,178371,9.87,4.23,5.87,1.18,0.9,1.01,31.64,17.1,12.8,16.6,7.7,65306,88477
"Kingsville, TX Micro Area",-247,31116,15.01,4.19,12.88,2.93,0.68,1.28,24.22,15.8,13,12.6,4.1,47176,61317
"Kinston, NC Micro Area",-146,56350,8.64,5.58,4.2,0.95,0.15,0.36,26.13,17.3,9.6,9.3,2.5,39923,56328
"Kirksville, MO Micro Area",-64,30018,13.47,4.33,17.34,2.11,0.66,0.07,25.97,17.6,10.4,9.5,3.1,42682,63107
"Klamath Falls, OR Micro Area",253,67606,9.45,4.43,4.82,0.67,0.35,0.86,30.48,19.3,12.2,11.2,3.9,48560,62551
"Knoxville, TN Metro Area",2905,861872,10.06,4.75,5.38,1.26,0.84,1.95,30.02,18.3,13.1,13.9,5.4,56857,78504
"Kokomo, IN Metro Area",81,82486,9.07,5.3,3.58,0.35,0.4,1.82,30.81,20.2,13.1,14.7,4.3,56387,69666
"La Crosse-Onalaska, WI-MN Metro Area",36,136838,11.53,4.58,10,1.49,1.06,1.19,32.95,20.5,13.3,15.2,4.9,60165,80307
"La Grande, OR Micro Area",-302,26502,9.54,5.16,5.12,0.59,0.62,0.61,31.01,18.2,15.4,11.8,4.3,53940,67798
"Laconia, NH Micro Area",-339,61174,8.08,5.22,3.01,1.24,0.99,1.76,34.33,16.3,15.2,18.2,7.4,67328,88656
"Lafayette-West Lafayette, IN Metro Area",3001,230353,15.8,4.37,15.31,4.24,1.11,2.71,28.59,18.2,11.6,13.7,4.8,52826,71835
"Lafayette, LA Metro Area",-1385,490220,10.43,5.41,4.43,0.78,0.49,0.91,25.92,16.2,12.8,13.8,5.1,52827,74136
"LaGrange, GA-AL Micro Area",180,103522,9.95,4.71,3.73,0.65,0.49,0.99,24.28,18.1,11.5,11.7,2.6,46062,61610
"Lake Charles, LA Metro Area",-588,209821,10.33,5.02,4.35,0.74,0.32,1.01,27.29,17.5,11.7,13.2,5.9,52986,74352
"Lake City, FL Micro Area",840,70898,10.43,5.01,2.79,0.62,0.28,0.7,25.51,17.8,9.9,11.4,4.2,44818,65403
"Lake Havasu City-Kingman, AZ Metro Area",1611,210998,7.7,3.62,2.51,0.66,0.45,0.55,31.96,20.1,11.9,10,3.3,47686,63434
"Lakeland-Winter Haven, FL Metro Area",3163,705735,9.56,5.14,4.36,0.77,0.66,0.9,25.02,19.6,12.4,11.9,3.9,51535,69535
"Lamesa, TX Micro Area",233,12849,16.2,7.21,3.53,0.33,0.3,0.44,17.11,15.2,8.7,10.9,2.6,40469,62021
"Lancaster, PA Metro Area",465,543050,9.7,4.7,3.99,1.03,0.64,1.07,29.19,19.7,15.7,18.6,6.1,69588,88566
"Lansing-East Lansing, MI Metro Area",2138,547786,11.77,4.86,10.1,1.96,1.23,1.57,31.16,19.2,13.6,15.1,5.8,60278,78996
"Laramie, WY Micro Area",-190,38664,20.75,3,23.03,6.84,1.24,3.49,37.52,16,10.9,14.6,6.5,51362,68818
"Laredo, TX Metro Area",-445,274847,10.93,7.36,5.63,0.77,0.31,0.81,17.18,18.5,11.5,13.5,3.4,50296,65605
"Las Cruces, NM Metro Area",2206,217696,12.14,5.63,9.45,1.54,0.83,1.63,25.9,17.9,9.5,12.1,3.3,44024,60780
"Las Vegas-Henderson-Paradise, NV Metro Area",12906,2228866,10.61,5.24,4.31,1.04,0.7,1.18,28.86,18.4,13.6,15,6,61048,83343
"Las Vegas, NM Micro Area",-75,32046,8.81,4.32,7.91,1.22,0.89,0.65,24.78,13.5,6.9,9.5,2.6,32141,48801
"Laurel, MS Micro Area",-337,84761,8.65,5.45,3.63,0.9,0.38,0.52,20.54,17.7,10.5,10.5,3.4,41899,59552
"Laurinburg, NC Micro Area",-20,34921,9.79,4.87,4.19,0.45,0.22,0.38,20.76,15.4,10,7.9,2,35936,52139
"Lawrence, KS Metro Area",217,121304,16.61,3.78,17.04,3.94,1.15,2.11,34.71,17.6,12.3,14.9,7,61020,81550
"Lawrenceburg, TN Micro Area",-58,43780,8.59,4.93,3.28,0.4,0.32,0.72,23.2,19.2,10.4,9.8,1.7,43734,58722
"Lawton, OK Metro Area",1754,127157,14.05,5.32,5.1,0.96,0.74,0.46,26.1,18.2,13.7,14.7,3,52219,70509
"Lebanon, MO Micro Area",-237,35680,8.65,5.55,1.79,0.66,0.46,0.36,26.4,22.5,11.2,10.2,2.1,46582,57214
"Lebanon, NH-VT Micro Area",-367,217568,9.22,4.01,4.96,1.47,1.04,1.84,33.64,19,15,15.1,5.8,64082,85914
"Lebanon, PA Metro Area",-565,140410,8.94,5.11,3.55,0.76,0.63,0.61,27.91,20.2,15.3,16.1,5.3,61632,76649
"Levelland, TX Micro Area",-128,22986,10.62,6.2,6.22,0.67,0.32,0.27,21.63,14.1,12.4,15,3.3,47010,65648
"Lewisburg, PA Micro Area",1195,44831,12.06,3.5,10.45,0.54,0.62,1.11,24.06,17.3,12.9,14.8,5.3,56824,82438
"Lewisburg, TN Micro Area",69,33708,9.06,5.24,2.39,0.44,0.45,0.57,25.79,19,14,13.9,3.8,55299,68185
"Lewiston-Auburn, ME Metro Area",37,107958,9.22,4.64,5.42,0.78,0.46,0.77,33.09,18.2,12.5,15,5.1,55002,71114
"Lewiston, ID-WA Metro Area",-435,63104,8.99,4.59,4.1,0.44,0.43,1.07,32.14,17.1,14.8,13.6,5.4,55657,73339
"Lewistown, PA Micro Area",-134,46179,8.58,4.14,2.06,0.58,0.21,0.42,26.77,22,14.8,11.7,2.9,52641,64489
"Lexington-Fayette, KY Metro Area",2720,514273,11.53,4.56,7.32,2.25,0.91,2.14,31.21,17.5,13.1,15.2,6.2,60769,84976
"Lexington, NE Micro Area",5,25639,9.36,5.64,3.17,0.74,0.22,0.21,26.37,22.6,13.2,16.1,3.8,57761,74194
"Liberal, KS Micro Area",153,21902,12.29,6.47,4.52,0.5,0.18,0.3,20.11,22.2,10.4,11.6,3.2,49395,61443
"Lima, OH Metro Area",-1,102808,10.29,5.53,5.4,0.61,0.5,0.59,28.88,19.7,13.7,11.8,3.5,51892,65522
"Lincoln, IL Micro Area",550,28818,10.51,5.1,5.81,0.52,0.39,0.52,27.88,18.4,14.3,13.4,6.6,58122,76935
"Lincoln, NE Metro Area",3201,333193,12.92,4.83,9.97,2.06,0.88,1.37,33.65,19.6,13.4,16.3,6,62883,82659
"Little Rock-North Little Rock-Conway, AR Metro Area",-955,740602,10.34,5.07,4.83,1.48,0.94,1,28.78,18,12.4,14,5.3,55983,77700
"Lock Haven, PA Micro Area",582,38549,11.11,4.01,6.68,0.6,0.42,0.67,28.52,19.8,12.2,13.8,3.6,51145,65823
"Logan, UT-ID Metro Area",219,140072,13.88,7.01,12.61,1.49,0.86,1.46,28.06,20.1,15.3,14.5,5.1,60466,76881
"Logansport, IN Micro Area",-96,37727,8.49,6.17,3.59,0.34,0.07,0.3,26.19,18.5,14.3,11.5,3.2,49020,61065
"London, KY Micro Area",156,148281,9.82,4.88,4.05,0.9,0.24,0.19,22.77,17,9.9,8.3,2.4,36814,53569
"Longview, TX Metro Area",59,285554,9.88,5.36,3.96,0.52,0.47,0.86,24.23,19.1,12.6,13,4.8,53524,72804
"Longview, WA Metro Area",13,108399,8.87,5.02,4.19,0.61,0.45,1.02,30.42,18.9,14.1,12.8,6.6,58791,75881
"Los Alamos, NM Micro Area",-237,18976,8.93,6.21,3.71,2.2,5.3,10.78,37.67,10.3,14.7,26.5,13.1,119266,142293
"Los Angeles-Long Beach-Anaheim, CA Metro Area",-4279,13211027,11.53,5.24,7.02,1.52,1.18,2.23,27.4,15.4,12.4,17.1,9,76399,108889
"Louisville/Jefferson County, KY-IN Metro Area",710,1262287,9.98,5.17,4.13,1.21,0.92,1.31,29.62,18.8,13.4,15,6.2,60891,82683
"Lubbock, TX Metro Area",3658,320031,13.61,5.15,11.81,2.28,0.5,1.09,28.34,17.4,12,13.8,4.8,53003,74545
"Ludington, MI Micro Area",-36,29062,7.85,4.5,2.77,0.55,0.58,1.08,30,21.4,12.9,10.9,3.5,51568,67672
"Lufkin, TX Micro Area",407,87119,9.49,5.54,4.02,0.64,0.25,1,25.58,18.9,12.5,11.1,4.6,49684,64700
"Lumberton, NC Micro Area",-617,131656,9.73,5.81,5.17,0.74,0.32,0.19,19.03,15.6,9.9,7.9,2.2,35362,51637
"Lynchburg, VA Metro Area",1838,262937,10.71,4.34,8.05,1.91,0.62,1.22,28.34,19,14.5,13.9,4.6,56983,72448
"Macomb, IL Micro Area",249,30107,13.98,3.98,18.48,2.3,0.9,0.29,28.83,16.3,9.5,12.9,4,43591,60922
"Macon-Bibb County, GA Metro Area",1010,229565,9.49,5.25,5.41,1.22,0.89,0.76,26.54,15.6,11.3,12,4.2,46083,67092
"Madera, CA Metro Area",109,155925,9.79,7.26,5.3,0.64,0.21,0.41,20.64,17.9,14.3,16.6,5.3,61924,77625
"Madison, IN Micro Area",35,32167,9.07,4.83,5.78,0.85,0.32,1.18,26.74,19.4,14.6,12,3.4,51981,68188
"Madison, WI Metro Area",1929,660212,12.54,4.56,7.74,2.59,1.82,2.24,35.68,18,14.3,18.7,8,73807,95827
"Madisonville, KY Micro Area",-330,45044,8.89,5.11,2.99,1.54,0.32,0.44,27.63,16.9,13.2,11.2,3.2,47014,60162
"Magnolia, AR Micro Area",398,23620,12.14,4.48,11.14,0.78,0.22,0.4,18.87,15.8,8.1,8.7,2.3,37609,60680
"Malone, NY Micro Area",1113,50389,13.2,4.69,3.99,0.28,0.57,0.48,26.29,18.6,13,12.8,4.2,52905,69689
"Malvern, AR Micro Area",123,33667,10.59,4.78,2.82,0.43,0.39,0.3,20.56,20.7,10.9,11.8,2.2,46390,60583
"Manchester-Nashua, NH Metro Area",4239,415305,10.37,4.99,4.52,1.41,1.91,2.94,33.16,16.4,13.4,20.1,10.4,82099,104497
"Manhattan, KS Metro Area",-550,131571,19.93,4.04,15.42,2.94,0.85,1.25,31.51,20.9,11.5,12.9,5.3,54488,70955
"Manitowoc, WI Micro Area",-544,78977,8.12,5.13,3.36,0.62,0.58,1.06,33.05,20.4,14.9,15,4,58464,71685
"Mankato, MN Metro Area",-553,101544,13.96,4.11,13.47,1.17,0.82,0.43,32.34,17.7,15.4,16.7,5.6,63288,81812
"Mansfield, OH Metro Area",272,121043,10.46,4.95,3.26,0.65,0.37,0.86,28.8,19.8,13.2,11.2,3.2,49186,62332
"Marietta, OH Micro Area",208,60217,9.05,5.03,4.5,0.72,0.56,1,29.09,19.7,13.7,11.7,4,51808,70716
"Marinette, WI-MI Micro Area",108,63214,7.49,4.98,2.6,0.4,0.5,1.12,32.45,21.7,12.8,11.5,3.2,51134,63724
"Marion, IN Micro Area",-243,66055,9.17,4.41,9.27,0.8,0.43,0.43,27.8,18.7,10.5,14,2.5,46900,59841
"Marion, NC Micro Area",377,45402,9.05,4.49,2.82,0.58,0.28,0.86,27.15,19.3,12.3,9.4,3.8,47085,61873
"Marion, OH Micro Area",458,65179,11.12,5.94,3.62,0.66,0.21,0.47,27.34,19.1,12.8,10.7,3.5,49225,66924
"Marquette, MI Micro Area",265,66403,11.92,4.07,10,1.63,0.81,1.07,32.2,21,14.6,12.4,3.3,54585,67729
"Marshall, MN Micro Area",-101,25696,9.52,6.09,7.45,0.73,0.84,0.53,31.22,17.2,15.5,14.7,5,57274,77390
"Marshall, MO Micro Area",166,22932,10.25,5.11,6.92,0.81,0.38,0.45,24.49,17.7,14.9,9.8,3.7,47585,61467
"Marshalltown, IA Micro Area",-67,39804,9.54,5.42,3.02,0.62,0.58,1.16,27.34,21.7,14.3,16,4.1,58735,71134
"Martin, TN Micro Area",-73,33377,11.09,4.28,10.94,1.09,0.31,0.32,25.87,20.7,10.6,8,1.8,41488,55161
"Martinsville, VA Micro Area",-295,63678,7.11,5.82,3.28,0.61,0.35,0.55,25.6,17.5,8.5,8.2,2.1,38115,51992
"Maryville, MO Micro Area",-169,22199,14.34,3.91,22.45,1.81,0.57,0.56,29.4,17.2,14,9.6,3.1,46303,61082
"Mason City, IA Micro Area",246,50094,8.74,4.45,3.79,0.44,0.25,0.59,32.1,19.9,14.7,13.5,3.5,56422,74546
"Mayagüez, PR Metro Area",0,97198,10.89,4.65,11.52,1.72,0.68,1.15,17.94,6.8,3,1.9,0.5,15757,26922
"Mayfield, KY Micro Area",120,37125,8.76,5.74,2.8,0.56,0.42,0.68,26.91,20.8,11.1,9.2,3.4,45614,62936
"Maysville, KY Micro Area",218,17122,9.87,4.09,4.16,0.99,0.77,0.84,25.63,13.3,10.5,14.4,5.9,46241,72846
"McAlester, OK Micro Area",13,43955,10.52,4.67,3.21,0.47,0.15,0.55,25.52,19.3,11.1,10.8,3.9,47511,62850
"McAllen-Edinburg-Mission, TX Metro Area",-877,861137,10.63,7.44,5.41,0.75,0.41,0.75,16.69,16.6,9.4,11.2,3.4,41846,59647
"McComb, MS Micro Area",-27,39365,8.84,6.33,3.95,0.8,0.27,0.23,20.62,15.6,6.7,4.7,1.8,32726,46693
"McMinnville, TN Micro Area",-213,40971,9.19,5.47,3.26,0.37,0.21,0.57,24.18,19.7,9.2,9.1,2.3,42668,58710
"McPherson, KS Micro Area",33,28557,9.85,5.06,5.21,0.82,0.46,0.84,33.45,20.5,13.7,14.4,4.7,59928,73832
"Meadville, PA Micro Area",-524,85074,8.43,4.62,3.9,0.54,0.36,0.8,29.24,20.3,14.3,11.2,3.3,51919,65805
"Medford, OR Metro Area",602,218781,9.08,4.19,4.01,0.78,0.57,0.87,33.23,19.5,13.1,13.2,4.8,56327,76999
"Memphis, TN-MS-AR Metro Area",1121,1343150,10.09,5.56,4.49,1.35,0.74,1.12,26.02,17.3,11.7,13.4,5.3,53896,78029
"Menomonie, WI Micro Area",1111,45029,12.51,4.35,15.92,0.88,0.84,1.42,29.92,19.3,14.3,15.7,5.5,59588,74263
"Merced, CA Metro Area",163,273661,11.56,6.86,7.49,0.77,0.25,0.4,20.46,19.9,12.1,13.7,4.9,56330,76432
"Meridian, MS Micro Area",512,100998,9.98,5.47,4.42,1.35,0.42,0.58,23.53,15.7,9.5,10.6,3.3,40698,59142
"Mexico, MO Micro Area",515,25336,7.55,5.58,2.77,0.24,0.17,0.56,25.35,15.7,9.3,11.6,2.5,44699,61953
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",5013,6129858,9.75,4.89,5.52,1.49,0.88,2.13,28.26,17.2,12,13.7,6.1,59030,89252
"Miami, OK Micro Area",-63,31283,8.99,5.16,4.44,0.45,0.27,0.34,23.22,18.6,10.1,7.6,1.8,40662,53495
"Michigan City-La Porte, IN Metro Area",1285,110026,11.07,5.06,2.67,0.41,0.44,0.77,29.27,19.8,14,13.9,5.2,57010,71180
"Middlesborough, KY Micro Area",21,26426,9.1,4.59,2.52,0.65,0.17,0.07,20.22,13.6,8.4,4,0.5,28442,39932
"Midland, MI Metro Area",-324,83445,9.4,5.06,4.61,0.94,0.89,3.37,32.32,18.4,14.1,14.7,6.6,64078,87407
"Midland, TX Metro Area",1661,176914,12.22,5.64,4.22,1.08,0.33,1.98,25.62,15.9,13.4,18.2,10.2,82768,113424
"Milledgeville, GA Micro Area",490,53572,13.38,4.34,11.72,0.53,0.55,0.29,25.01,15.1,13.1,10.7,2.9,43312,66286
"Milwaukee-Waukesha, WI Metro Area",-571,1576525,10.1,5.29,4.94,1.3,1.02,1.93,31.19,17.2,13,15.9,7.1,63739,88332
"Minden, LA Micro Area",-266,38813,9.14,4.69,3.86,0.53,0.43,0.28,19.93,13,5.7,5.8,2.9,30324,46878
"Mineral Wells, TX Micro Area",-225,28792,8.86,5.03,2.97,0.39,0.41,0.85,26.26,19.8,14,12.2,4.4,55986,72854
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",10616,3605450,10.46,5.41,4.89,1.47,1.54,2.22,32.79,16.4,13.9,19.9,9.8,82887,108282
"Minot, ND Micro Area",345,77174,15.9,4.56,5.48,1.42,0.39,0.58,32.73,19.9,15.3,16.4,7.1,68127,85320
"Missoula, MT Metro Area",1441,119062,13.24,4.2,8.83,2.11,0.81,1.14,35.2,18.8,12.9,13.3,5.6,56247,77859
"Mitchell, SD Micro Area",360,23313,9.93,4.87,4.96,0.63,0.51,0.33,30.64,13.5,12.8,14.8,4.8,49149,69627
"Moberly, MO Micro Area",91,24769,11.88,4.96,3.93,0.5,0.08,0.17,25,22.5,12.6,11.5,2.6,50440,59724
"Mobile, AL Metro Area",-2110,430313,9.9,5.35,4.45,0.83,0.56,1.21,25.09,18.1,11.2,12.3,4.5,49370,67199
"Modesto, CA Metro Area",1183,546235,10.84,6.31,5.92,0.71,0.41,0.58,23.62,18.6,13.3,16,6.6,62873,82369
"Monroe, LA Metro Area",-594,202138,9.75,5.3,4.91,0.72,0.56,0.67,23.1,16.2,9.2,10.6,4.6,43212,63578
"Monroe, MI Metro Area",-179,150000,8.9,5.22,4.38,0.85,0.46,1.57,30.77,19.5,14.1,18.2,6.6,65453,81333
"Montgomery, AL Metro Area",1558,373552,10.09,5.13,4.9,1.4,1.35,1.11,27.25,18.7,11.9,14,4.7,54250,73326
"Montrose, CO Micro Area",-537,47170,8.01,4.76,2.47,0.45,0.78,1.45,32.65,19.6,14.7,13.2,4,56051,73069
"Morehead City, NC Micro Area",-66,69301,7.46,4.34,3.64,0.92,0.71,1.95,35.08,17.7,14.5,13.8,5,57871,76538
"Morgan City, LA Micro Area",2,50020,9.32,5.36,2.26,0.7,0.26,0.58,21.36,18.4,8.5,8.6,1.8,40218,53459
"Morgantown, WV Metro Area",1454,139806,15.57,3.57,12.84,3.43,0.9,2.02,29.91,16.7,9.8,14.9,6,53681,79075
"Morristown, TN Metro Area",-139,141909,8.65,5.25,3.79,0.48,0.37,0.72,24.5,18.8,12.5,11,2.7,46798,62092
"Moscow, ID Micro Area",-259,40052,16.95,4,19.35,4.68,0.93,1.36,34.62,19,12.4,11.3,3.7,51312,67604
"Moses Lake, WA Micro Area",-556,96648,10.7,6.09,3.38,0.43,0.28,0.76,24.07,18.6,15.9,15,4.8,59165,73686
"Moultrie, GA Micro Area",404,45510,9.74,5.99,3.73,0.61,0.16,0.13,19.64,13.7,10,11.6,1.9,36799,54362
"Mount Airy, NC Micro Area",-28,71904,8.49,5.03,3.47,0.77,0.57,0.65,26.7,17.4,12,12.2,2.4,44979,63337
"Mount Gay-Shamrock, WV Micro Area",34,32593,8.8,4.84,1.89,0.44,0.51,0.06,28.76,13.8,9.4,12,2.1,36250,54680
"Mount Pleasant, MI Micro Area",1906,70363,15.38,3.52,21.54,2.87,0.97,0.54,27.54,19.2,10.6,10.4,4,46783,63507
"Mount Pleasant, TX Micro Area",58,45647,9.04,6.62,3.89,0.39,0.36,0.46,20.22,20.3,15.2,11.1,2.7,52732,63725
"Mount Sterling, KY Micro Area",30,46926,9.31,5.1,2.7,0.49,0.18,0.54,23.43,21.2,12.4,10.8,1.9,46271,58920
"Mount Vernon-Anacortes, WA Metro Area",572,127442,9.28,4.74,3.49,0.7,0.62,1.52,32.14,19.1,15.7,17.9,6.9,71021,89293
"Mount Vernon, IL Micro Area",-53,37774,10.22,4.57,3.15,0.73,0.3,0.69,26.5,18.9,13.5,12.1,3.4,51662,67646
